127.0.0.1 [30/dezembro/2024 15:45:44.375] 200
[30/dezembro/2024 15:46:58.232] 200
[30/dezembro/2024 15:47:51.290] 200 GET
[30/dezembro/2024 15:47:52.161] 200 GET
[30/dezembro/2024 16:35:09.636] 401 GET
[30/dezembro/2024 16:35:16.199] 500 GET
[30/dezembro/2024 16:35:18.405] 404 GET
[30/dezembro/2024 16:35:18.405] 404 GET
[30/dezembro/2024 16:35:21.084] 500 GET
[30/dezembro/2024 16:35:28.294] 500 GET
[30/dezembro/2024 16:36:34.344] 200 GET
[30/dezembro/2024 17:09:23.696] 200 GET
[30/dezembro/2024 17:09:25.039] 200 GET
[30/dezembro/2024 17:09:25.412] 200 GET
[30/dezembro/2024 17:09:25.650] 200 GET
[30/dezembro/2024 17:09:26.885] 200 GET
[30/dezembro/2024 17:09:28.247] 200 GET
[30/dezembro/2024 17:09:28.660] 200 GET
[30/dezembro/2024 17:09:29.034] 200 GET
